,inaction,disengange,engange
347,22.0,204.0,122.0
348,22.0,205.0,122.0
349,22.0,206.0,122.0
350,22.0,206.0,123.0
351,22.0,206.0,124.0
352,22.0,206.0,125.0
353,22.0,206.0,126.0
354,22.0,206.0,127.0
355,22.0,206.0,128.0
356,22.0,206.0,129.0
357,22.0,206.0,130.0
358,22.0,207.0,130.0
359,22.0,208.0,130.0
360,22.0,209.0,130.0
361,22.0,210.0,130.0
362,22.0,211.0,130.0
363,22.0,212.0,130.0
364,22.0,213.0,130.0
365,22.0,214.0,130.0
366,22.0,215.0,130.0
367,22.0,216.0,130.0
368,22.0,217.0,130.0
369,22.0,218.0,130.0
370,22.0,219.0,130.0
371,22.0,220.0,130.0
372,23.0,220.0,130.0
373,24.0,220.0,130.0
374,24.0,221.0,130.0
375,24.0,222.0,130.0
376,24.0,223.0,130.0
377,24.0,224.0,130.0
378,24.0,224.0,131.0
379,24.0,224.0,132.0
380,24.0,224.0,133.0
381,24.0,224.0,134.0
382,24.0,225.0,134.0
383,24.0,226.0,134.0
384,24.0,226.0,135.0
385,24.0,226.0,136.0
386,24.0,227.0,136.0
387,24.0,228.0,136.0
388,24.0,229.0,136.0
389,24.0,230.0,136.0
390,24.0,231.0,136.0
391,24.0,232.0,136.0
392,24.0,233.0,136.0
393,24.0,234.0,136.0
394,24.0,235.0,136.0
395,24.0,236.0,136.0
396,24.0,237.0,136.0
397,24.0,238.0,136.0
398,24.0,239.0,136.0
399,24.0,240.0,136.0
400,24.0,240.0,137.0
401,24.0,240.0,138.0
402,24.0,241.0,138.0
403,24.0,242.0,138.0
404,24.0,243.0,138.0
405,24.0,244.0,138.0
406,24.0,245.0,138.0
407,24.0,246.0,138.0
408,24.0,247.0,138.0
409,24.0,248.0,138.0
410,24.0,249.0,138.0
411,24.0,250.0,138.0
412,25.0,250.0,138.0
413,26.0,250.0,138.0
414,26.0,251.0,138.0
415,26.0,252.0,138.0
416,26.0,253.0,138.0
417,26.0,254.0,138.0
418,26.0,254.0,139.0
419,26.0,254.0,140.0
420,26.0,255.0,140.0
421,26.0,256.0,140.0
422,26.0,256.0,141.0
423,26.0,256.0,142.0
424,26.0,257.0,142.0
425,26.0,258.0,142.0
426,26.0,258.0,143.0
427,26.0,258.0,144.0
428,26.0,259.0,144.0
429,26.0,260.0,144.0
430,26.0,261.0,144.0
431,26.0,262.0,144.0
432,26.0,263.0,144.0
433,26.0,264.0,144.0
434,26.0,264.0,145.0
435,26.0,264.0,146.0
436,26.0,264.0,147.0
437,26.0,264.0,148.0
438,26.0,265.0,148.0
439,26.0,266.0,148.0
440,26.0,267.0,148.0
441,26.0,268.0,148.0
442,27.0,268.0,148.0
443,28.0,268.0,148.0
444,28.0,269.0,148.0
445,28.0,270.0,148.0
446,28.0,271.0,148.0
447,28.0,272.0,148.0
448,28.0,273.0,148.0
449,28.0,274.0,148.0
450,28.0,275.0,148.0
451,28.0,276.0,148.0
452,28.0,277.0,148.0
453,28.0,278.0,148.0
454,28.0,279.0,148.0
455,28.0,280.0,148.0
456,28.0,281.0,148.0
457,28.0,282.0,148.0
458,28.0,282.0,149.0
459,28.0,282.0,150.0
460,28.0,283.0,150.0
461,28.0,284.0,150.0
462,28.0,285.0,150.0
463,28.0,286.0,150.0
464,28.0,286.0,151.0
465,28.0,286.0,152.0
466,28.0,287.0,152.0
467,28.0,288.0,152.0
468,28.0,289.0,152.0
469,28.0,290.0,152.0
470,28.0,291.0,152.0
471,28.0,292.0,152.0
472,28.0,293.0,152.0
473,28.0,294.0,152.0
474,28.0,295.0,152.0
475,28.0,296.0,152.0
476,28.0,297.0,152.0
477,28.0,298.0,152.0
