,inaction,disengange,engange
445,104.0,182.0,160.0
446,104.0,183.0,160.0
447,104.0,184.0,160.0
448,104.0,185.0,160.0
449,104.0,186.0,160.0
450,105.0,186.0,160.0
451,106.0,186.0,160.0
452,107.0,186.0,160.0
453,108.0,186.0,160.0
454,108.0,187.0,160.0
455,108.0,188.0,160.0
456,108.0,188.0,161.0
457,108.0,188.0,162.0
458,108.0,189.0,162.0
459,108.0,190.0,162.0
460,108.0,191.0,162.0
461,108.0,192.0,162.0
462,109.0,192.0,162.0
463,110.0,192.0,162.0
464,110.0,192.0,163.0
465,110.0,192.0,164.0
466,110.0,193.0,164.0
467,110.0,194.0,164.0
468,110.0,194.0,165.0
469,110.0,194.0,166.0
470,111.0,194.0,166.0
471,112.0,194.0,166.0
472,112.0,194.0,167.0
473,112.0,194.0,168.0
474,112.0,195.0,168.0
475,112.0,196.0,168.0
476,112.0,197.0,168.0
477,112.0,198.0,168.0
478,112.0,199.0,168.0
479,112.0,200.0,168.0
480,112.0,201.0,168.0
481,112.0,202.0,168.0
482,112.0,202.0,169.0
483,112.0,202.0,170.0
484,112.0,203.0,170.0
485,112.0,204.0,170.0
486,112.0,205.0,170.0
487,112.0,206.0,170.0
488,112.0,207.0,170.0
489,112.0,208.0,170.0
490,112.0,208.0,171.0
491,112.0,208.0,172.0
492,112.0,208.0,173.0
493,112.0,208.0,174.0
494,113.0,208.0,174.0
495,114.0,208.0,174.0
496,114.0,209.0,174.0
497,114.0,210.0,174.0
498,114.0,210.0,175.0
499,114.0,210.0,176.0
500,114.0,211.0,176.0
501,114.0,212.0,176.0
502,115.0,212.0,176.0
503,116.0,212.0,176.0
504,116.0,213.0,176.0
505,116.0,214.0,176.0
506,116.0,214.0,177.0
507,116.0,214.0,178.0
508,116.0,214.0,179.0
509,116.0,214.0,180.0
510,117.0,214.0,180.0
511,118.0,214.0,180.0
512,118.0,215.0,180.0
513,118.0,216.0,180.0
514,118.0,216.0,181.0
515,118.0,216.0,182.0
516,119.0,216.0,182.0
517,120.0,216.0,182.0
518,120.0,217.0,182.0
519,120.0,218.0,182.0
520,120.0,219.0,182.0
521,120.0,220.0,182.0
522,120.0,221.0,182.0
523,120.0,222.0,182.0
524,120.0,223.0,182.0
525,120.0,224.0,182.0
526,120.0,225.0,182.0
527,120.0,226.0,182.0
528,120.0,226.0,183.0
529,120.0,226.0,184.0
530,121.0,226.0,184.0
531,122.0,226.0,184.0
532,122.0,226.0,185.0
533,122.0,226.0,186.0
534,122.0,227.0,186.0
535,122.0,228.0,186.0
536,123.0,228.0,186.0
537,124.0,228.0,186.0
538,124.0,228.0,187.0
539,124.0,228.0,188.0
540,125.0,228.0,188.0
541,126.0,228.0,188.0
542,126.0,229.0,188.0
543,126.0,230.0,188.0
544,126.0,230.0,189.0
545,126.0,230.0,190.0
546,127.0,230.0,190.0
547,128.0,230.0,190.0
548,128.0,231.0,190.0
549,128.0,232.0,190.0
550,128.0,233.0,190.0
551,128.0,234.0,190.0
552,128.0,235.0,190.0
553,128.0,236.0,190.0
554,128.0,237.0,190.0
555,128.0,238.0,190.0
556,128.0,238.0,191.0
557,128.0,238.0,192.0
558,128.0,239.0,192.0
559,128.0,240.0,192.0
560,128.0,241.0,192.0
561,128.0,242.0,192.0
562,128.0,243.0,192.0
563,128.0,244.0,192.0
564,128.0,245.0,192.0
565,128.0,246.0,192.0
566,128.0,246.0,193.0
567,128.0,246.0,194.0
568,128.0,247.0,194.0
569,128.0,248.0,194.0
570,128.0,248.0,195.0
571,128.0,248.0,196.0
572,128.0,248.0,197.0
573,128.0,248.0,198.0
574,129.0,248.0,198.0
575,130.0,248.0,198.0
576,130.0,249.0,198.0
577,130.0,250.0,198.0
578,130.0,251.0,198.0
579,130.0,252.0,198.0
580,131.0,252.0,198.0
581,132.0,252.0,198.0
582,133.0,252.0,198.0
583,134.0,252.0,198.0
584,134.0,252.0,199.0
585,134.0,252.0,200.0
586,134.0,253.0,200.0
587,134.0,254.0,200.0
588,135.0,254.0,200.0
589,136.0,254.0,200.0
590,137.0,254.0,200.0
591,138.0,254.0,200.0
592,138.0,254.0,201.0
593,138.0,254.0,202.0
594,138.0,255.0,202.0
595,138.0,256.0,202.0
596,138.0,257.0,202.0
597,138.0,258.0,202.0
598,138.0,259.0,202.0
599,138.0,260.0,202.0
600,138.0,261.0,202.0
601,138.0,262.0,202.0
602,138.0,262.0,203.0
603,138.0,262.0,204.0
604,139.0,262.0,204.0
605,140.0,262.0,204.0
606,140.0,262.0,205.0
607,140.0,262.0,206.0
608,140.0,263.0,206.0
609,140.0,264.0,206.0
610,140.0,264.0,207.0
611,140.0,264.0,208.0
612,140.0,265.0,208.0
613,140.0,266.0,208.0
614,140.0,267.0,208.0
615,140.0,268.0,208.0
616,140.0,268.0,209.0
617,140.0,268.0,210.0
618,140.0,269.0,210.0
619,140.0,270.0,210.0
620,140.0,271.0,210.0
621,140.0,272.0,210.0
622,140.0,273.0,210.0
623,140.0,274.0,210.0
624,140.0,274.0,211.0
625,140.0,274.0,212.0
626,140.0,275.0,212.0
627,140.0,276.0,212.0
628,140.0,277.0,212.0
629,140.0,278.0,212.0
630,140.0,278.0,213.0
631,140.0,278.0,214.0
632,141.0,278.0,214.0
633,142.0,278.0,214.0
634,142.0,278.0,215.0
635,142.0,278.0,216.0
636,143.0,278.0,216.0
637,144.0,278.0,216.0
638,144.0,279.0,216.0
639,144.0,280.0,216.0
640,145.0,280.0,216.0
641,146.0,280.0,216.0
642,146.0,281.0,216.0
643,146.0,282.0,216.0
644,146.0,282.0,217.0
645,146.0,282.0,218.0
646,146.0,283.0,218.0
647,146.0,284.0,218.0
648,147.0,284.0,218.0
649,148.0,284.0,218.0
650,148.0,285.0,218.0
651,148.0,286.0,218.0
652,148.0,286.0,219.0
653,148.0,286.0,220.0
654,148.0,287.0,220.0
655,148.0,288.0,220.0
656,149.0,288.0,220.0
657,150.0,288.0,220.0
658,150.0,289.0,220.0
659,150.0,290.0,220.0
660,150.0,290.0,221.0
661,150.0,290.0,222.0
662,151.0,290.0,222.0
663,152.0,290.0,222.0
664,152.0,291.0,222.0
665,152.0,292.0,222.0
666,152.0,293.0,222.0
667,152.0,294.0,222.0
668,153.0,294.0,222.0
669,154.0,294.0,222.0
670,154.0,294.0,223.0
671,154.0,294.0,224.0
672,154.0,295.0,224.0
673,154.0,296.0,224.0
674,154.0,296.0,225.0
675,154.0,296.0,226.0
676,154.0,297.0,226.0
677,154.0,298.0,226.0
678,154.0,298.0,227.0
679,154.0,298.0,228.0
680,154.0,299.0,228.0
681,154.0,300.0,228.0
682,155.0,300.0,228.0
683,156.0,300.0,228.0
684,156.0,301.0,228.0
685,156.0,302.0,228.0
686,156.0,302.0,229.0
687,156.0,302.0,230.0
688,157.0,302.0,230.0
689,158.0,302.0,230.0
690,158.0,303.0,230.0
691,158.0,304.0,230.0
692,158.0,305.0,230.0
693,158.0,306.0,230.0
694,158.0,307.0,230.0
695,158.0,308.0,230.0
696,158.0,308.0,231.0
697,158.0,308.0,232.0
698,159.0,308.0,232.0
699,160.0,308.0,232.0
700,160.0,309.0,232.0
701,160.0,310.0,232.0
702,160.0,311.0,232.0
703,160.0,312.0,232.0
704,161.0,312.0,232.0
705,162.0,312.0,232.0
706,162.0,312.0,233.0
707,162.0,312.0,234.0
708,162.0,313.0,234.0
709,162.0,314.0,234.0
710,162.0,315.0,234.0
